0.043825,1.967435
0.0469125,1.90152
0.05,1.841832
0.053125,1.786831
0.05625,1.736516
0.059375,1.690259
0.0625,1.647529
0.06875,1.570944
0.075,1.504048
0.08125,1.444972
0.0875,1.392335
0.09375,1.345061
0.1,1.302302
0.10625,1.263391
0.1125,1.227802
0.11875,1.195108
0.125,1.164929
0.1375,1.110812
0.15,1.06348
0.1625,1.021687
0.175,0.9844683
0.1875,0.9510756
0.2,0.9209198
0.21875,0.8806023
0.2375,0.8450755
0.25625,0.8135147
0.275,0.7852455
0.29375,0.7597329
0.3125,0.7365595
0.33125,0.7154204
0.35,0.6960945
0.382,0.6663272
0.4139999,0.6398558
0.4143439,0.6395887
0.4153751,0.63879
0.4177814,0.6369387
0.4201876,0.6351045
0.425,0.6314863
0.44375,0.6179976
0.4625,0.6053931
0.5,0.5824312
0.625,0.5208981
0.75,0.4753817
0.875,0.440158
1.0,0.4117657
1.25,0.3681293
1.5,0.3359401
1.75,0.3109976
2.0,0.290868
2.375,0.2668346
2.75,0.2479308
3.125,0.2324858
3.5,0.2195967
4.25,0.1991439
5.0,0.1834995
6.25,0.1639683
7.5,0.1495277
8.75,0.1383102
10.0,0.1292614
12.5,0.1153842
15.0,0.1051251
17.5,0.09714546
20.0,0.09070035
23.75,0.08299524
27.5,0.07691369
31.25,0.07194487
35.0,0.06778797
42.5,0.06116889
50.0,0.05607975
62.5,0.04969453
75.0,0.04494584
87.5,0.04123149
100.0,0.03821829
112.5,0.03570585
125.0,0.03356834
150.0,0.03009877
175.0,0.0273771
200.0,0.02516451
237.5,0.02250213
275.0,0.02038645
312.5,0.0186514
350.0,0.01719571
387.5,0.01595231
425.0,0.01487506
500.0,0.01309591
562.5,0.01189822
625.0,0.01089283
687.5,0.01003988
750.0,0.009313478
812.5,0.00870004
875.0,0.00820234
921.8747,0.007943936
968.7493,0.007786596
999.999,0.007842235
1002.336,0.007853424
1009.338,0.007900054
1025.677,0.008097969
1042.015,0.008406293
1058.354,0.008989356
1066.523,0.009440506
1074.692,0.01006221
1079.652,0.01056433
1084.612,0.01119841
1089.572,0.01200636
1094.532,0.01305415
1099.492,0.01444214
1104.452,0.01627741
1106.932,0.01746922
1109.412,0.01889303
1111.892,0.02061168
1114.372,0.02271158
1116.561,0.02497684
1118.749,0.02774639
1120.937,0.03118244
1123.125,0.0354895
1125.313,0.04097308
1126.407,0.04435084
1127.501,0.04825037
1128.595,0.05278113
1129.689,0.05808696
1130.783,0.06435552
1131.877,0.07183515
1132.899,0.08020875
1133.92,0.0902707
1134.941,0.1024865
1135.962,0.1175569
1136.983,0.1365544
1137.494,0.147979
1138.004,0.1609648
1138.515,0.1758684
1139.025,0.1930176
1139.536,0.2129733
1140.046,0.2362904
1140.594,0.2660744
1141.141,0.3020249
1141.688,0.346083
1142.235,0.4009813
1142.509,0.4337594
1142.782,0.4707892
1143.056,0.5131981
1143.329,0.561751
1143.603,0.6181882
